date,temperature,humidity,luminosity
2019-11-27 15:53:55.373,26.1,30.1,100
2019-11-27 15:53:57.647,26.1,30.2,96
2019-11-27 15:53:59.920,26.1,30.6,96
2019-11-27 15:54:02.193,26.1,30.8,99
2019-11-27 15:54:04.471,26.1,30.9,112
2019-11-27 15:54:06.744,26.1,30.8,113
2019-11-27 15:54:09.017,26.1,30.8,94
2019-11-27 15:54:11.289,26.1,30.7,95
2019-11-27 15:54:13.565,26.1,30.8,94
2019-11-27 15:54:15.838,26.1,31.2,95
2019-11-27 15:54:18.111,26.1,31.6,95
2019-11-27 15:54:20.389,26.1,31.6,95
2019-11-27 15:54:22.662,26.1,31.5,88
2019-11-27 15:54:24.935,26.1,31.3,95
2019-11-27 15:54:27.208,26.1,31.2,96
2019-11-27 15:54:29.480,26.1,31.0,96
2019-11-27 15:54:31.758,26.1,30.9,94
2019-11-27 15:54:34.031,26.1,30.8,95
2019-11-27 15:54:36.305,26.1,30.8,96
2019-11-27 15:54:38.578,26.1,30.8,96
2019-11-27 15:54:40.855,26.1,30.9,96
2019-11-27 15:54:43.129,26.1,30.9,114
2019-11-27 15:54:45.402,26.1,30.7,115
2019-11-27 15:54:47.675,26.1,31.0,114
2019-11-27 15:54:49.953,26.1,31.2,114
2019-11-27 15:54:52.225,26.1,31.6,113
2019-11-27 15:54:54.499,26.1,31.6,113
2019-11-27 15:54:56.772,26.1,31.3,115
2019-11-27 15:54:59.045,26.1,31.1,114
2019-11-27 15:55:01.322,26.1,30.9,112
2019-11-27 15:55:03.596,26.1,30.8,112
2019-11-27 15:55:05.868,26.1,30.6,112
2019-11-27 15:55:08.142,26.1,30.5,111
2019-11-27 15:55:10.415,26.1,30.4,111
2019-11-27 15:55:12.691,26.1,30.3,112
2019-11-27 15:55:14.965,26.1,31.2,110
2019-11-27 15:55:17.238,26.1,31.9,110
2019-11-27 15:55:19.512,26.1,32.1,94
2019-11-27 15:55:21.785,26.1,32.5,94
2019-11-27 15:55:24.057,26.1,32.7,94
2019-11-27 15:55:26.335,26.1,32.9,94
2019-11-27 15:55:28.608,26.1,32.8,93
2019-11-27 15:55:30.881,26.1,33.1,94
2019-11-27 15:55:33.154,26.1,32.9,96
2019-11-27 15:55:35.428,26.1,32.5,96
2019-11-27 15:55:37.705,26.1,32.0,96
2019-11-27 15:55:39.978,26.1,31.7,87
2019-11-27 15:55:42.252,26.1,31.4,87
2019-11-27 15:55:44.525,26.1,31.2,95
2019-11-27 15:55:46.798,26.1,31.1,96
2019-11-27 15:55:49.071,26.1,31.3,96
2019-11-27 15:55:51.349,26.1,31.2,96
2019-11-27 15:55:53.622,26.1,31.1,89
2019-11-27 15:55:55.895,26.0,31.0,96
2019-11-27 15:55:58.173,26.0,30.9,113
2019-11-27 15:56:00.446,26.1,30.7,107
2019-11-27 15:56:02.718,26.1,30.6,108
2019-11-27 15:56:04.992,26.0,30.5,106
2019-11-27 15:56:07.265,26.0,30.3,101
2019-11-27 15:56:09.542,26.0,30.2,110
2019-11-27 15:56:11.816,26.0,30.1,110
2019-11-27 15:56:14.089,26.0,30.1,112
2019-11-27 15:56:16.362,26.0,30.0,112
2019-11-27 15:56:18.635,26.0,30.0,115
2019-11-27 15:56:20.912,26.0,29.9,116
2019-11-27 15:56:23.186,26.0,29.9,116
2019-11-27 15:56:25.459,26.0,29.8,117
2019-11-27 15:56:27.733,26.0,29.8,117
2019-11-27 15:56:30.006,26.0,29.7,118
2019-11-27 15:56:32.279,26.0,29.7,118
2019-11-27 15:56:34.556,26.0,29.7,115
2019-11-27 15:56:36.828,26.0,29.7,114
2019-11-27 15:56:39.102,26.0,29.8,115
2019-11-27 15:56:41.376,26.0,29.8,113
2019-11-27 15:56:43.649,26.0,29.7,117
2019-11-27 15:56:45.926,26.0,29.7,111
2019-11-27 15:56:48.200,25.9,29.3,101
2019-11-27 15:56:50.473,25.9,29.2,101
2019-11-27 15:56:52.745,26.0,29.6,98
2019-11-27 15:56:55.018,25.9,29.2,101
2019-11-27 15:56:57.293,25.9,29.2,102
2019-11-27 15:56:59.566,25.9,29.3,92
2019-11-27 15:57:01.843,25.9,29.3,94
2019-11-27 15:57:04.116,25.9,29.3,86
2019-11-27 15:57:06.390,25.9,29.2,94
2019-11-27 15:57:08.662,25.9,29.2,75
2019-11-27 15:57:10.935,25.9,29.2,75
2019-11-27 15:57:13.209,25.9,29.1,75
2019-11-27 15:57:15.486,25.9,29.1,75
2019-11-27 15:57:17.759,25.9,29.1,78
2019-11-27 15:57:20.032,25.9,29.0,78
2019-11-27 15:57:22.306,25.9,29.0,78
2019-11-27 15:57:24.579,25.9,29.0,79
2019-11-27 15:57:26.855,25.9,29.0,100
2019-11-27 15:57:29.130,25.9,29.0,100
2019-11-27 15:57:31.403,25.9,29.0,98
2019-11-27 15:57:33.675,25.9,29.0,88
2019-11-27 15:57:35.954,25.9,29.0,100
2019-11-27 15:57:38.223,25.8,28.9,97
2019-11-27 15:57:40.500,25.9,28.9,100
2019-11-27 15:57:42.773,25.9,28.9,101
2019-11-27 15:57:45.046,25.9,28.9,98
2019-11-27 15:57:47.319,25.8,28.9,99
2019-11-27 15:57:49.596,25.8,29.0,102
2019-11-27 15:57:51.870,25.8,28.9,105
2019-11-27 15:57:54.143,25.8,29.0,105
2019-11-27 15:57:56.416,25.9,29.0,105
2019-11-27 15:57:58.690,25.8,29.1,105
2019-11-27 15:58:00.962,25.8,29.1,105
2019-11-27 15:58:03.240,25.8,29.0,105
2019-11-27 15:58:05.514,25.8,29.1,94
2019-11-27 15:58:07.787,25.8,29.1,105
2019-11-27 15:58:10.059,25.8,29.1,106
2019-11-27 15:58:12.333,25.8,29.2,105
2019-11-27 15:58:14.606,25.8,29.2,95
2019-11-27 15:58:16.879,25.8,29.3,97
2019-11-27 15:58:19.157,25.8,29.5,104
2019-11-27 15:58:21.430,25.8,29.7,108
2019-11-27 15:58:23.703,25.8,30.0,118
2019-11-27 15:58:25.975,25.8,30.0,118
2019-11-27 15:58:28.254,25.8,30.0,115
2019-11-27 15:58:30.527,25.8,30.0,119
2019-11-27 15:58:32.800,25.8,29.8,119
2019-11-27 15:58:35.074,25.8,29.7,118
2019-11-27 15:58:37.347,25.8,29.6,118
2019-11-27 15:58:39.620,25.7,29.5,118
2019-11-27 15:58:41.898,25.8,29.5,117
2019-11-27 15:58:44.170,25.8,29.4,117
2019-11-27 15:58:46.443,25.8,29.3,117
2019-11-27 15:58:48.716,25.7,29.3,117
2019-11-27 15:58:50.989,25.8,29.2,107
2019-11-27 15:58:53.267,25.7,29.2,107
2019-11-27 15:58:55.540,25.7,29.2,117
2019-11-27 15:58:57.814,25.7,29.2,118
2019-11-27 15:59:00.086,25.8,29.2,117
2019-11-27 15:59:02.360,25.7,29.2,117
2019-11-27 15:59:04.633,25.7,29.2,117
2019-11-27 15:59:06.911,25.7,29.2,117
2019-11-27 15:59:09.184,25.7,29.1,117
2019-11-27 15:59:11.457,25.7,29.1,112
2019-11-27 15:59:13.731,25.7,29.1,118
